player,outcome,x,y,role
R. Sterling,Miss,77,22,Forward
Gabriel Jesus,GOAL,88,51,Forward
Gabriel Jesus,Miss,92,60,Forward
Danilo,Miss,87,50,Defender
David Silva,Miss,78,50,Midfielder
Danilo,Miss,95,66,Defender
Bernardo Silva,Miss,85,53,Midfielder
Fernandinho,Miss,94,71,Midfielder
R. Sterling,Miss,89,39,Forward
J. King,Miss,87,46,Forward
H. Arter,Miss,75,31,Midfielder
Fernandinho,Miss,80,65,Midfielder
S. Agüero,Miss,86,55,Forward
Gabriel Jesus,Miss,81,38,Forward
N. Otamendi,Miss,92,53,Defender
David Silva,Miss,89,54,Midfielder
R. Sterling,Miss,76,68,Forward
J. King,Miss,77,56,Forward
R. Sterling,GOAL,88,55,Forward
S. Cook,Miss,87,31,Defender
Álvaro Morata,Miss,87,22,Forward
Pedro,Miss,88,41,Forward
Willian,Miss,83,66,Midfielder
Willian,Miss,82,66,Midfielder
David Luiz,Miss,84,34,Defender
Pedro,Miss,81,61,Forward
Fàbregas,GOAL,90,60,Midfielder
G. Sigurðsson,Miss,76,37,Midfielder
Álvaro Morata,GOAL,94,55,Forward
Fàbregas,Miss,66,71,Midfielder
Pedro,Miss,80,46,Forward
Sandro,Miss,91,43,Forward
V. Moses,Miss,96,67,Midfielder
Pedro,Miss,88,67,Forward
V. Moses,Miss,87,71,Midfielder
Azpilicueta,Miss,82,66,Defender
W. Rooney,Miss,79,53,Forward
T. Bakayoko,Miss,84,52,Midfielder
A. Williams,Miss,83,49,Defender
A. Williams,Miss,94,46,Defender
M. Batshuayi,Miss,86,27,Forward
Marcos Alonso,Miss,81,68,Defender
A. Lennon,Miss,87,56,Midfielder
I. Gueye,Miss,78,61,Midfielder
Willian,Miss,87,68,Midfielder
T. Abraham,Miss,94,55,Forward
L. Fer,Miss,81,69,Midfielder
J. McArthur,Miss,91,48,Midfielder
A. Townsend,Miss,73,48,Midfielder
J. McArthur,Miss,78,65,Midfielder
J. Puncheon,Miss,80,32,Midfielder
T. Abraham,Miss,93,43,Forward
J. Tomkins,Miss,74,53,Defender
T. Abraham,GOAL,91,41,Forward
M. Kelly,Miss,94,47,Defender
J. Ayew,GOAL,82,63,Forward
Lee Chung-Yong,Miss,93,65,Midfielder
T. Fosu-Mensah,Miss,74,74,Defender
A. Townsend,Miss,78,32,Midfielder
A. Townsend,Miss,79,60,Midfielder
M. van der Hoorn,Miss,97,32,Defender
J. McArthur,Miss,91,35,Midfielder
A. Townsend,Miss,76,39,Midfielder
S. Dann,Miss,92,37,Defender
A. Townsend,Miss,86,63,Midfielder
J. McArthur,Miss,90,61,Midfielder
R. van La Parra,Miss,74,31,Midfielder
R. Bertrand,Miss,89,27,Defender
M. Jørgensen,Miss,90,58,Defender
E. Kachunga,Miss,93,41,Forward
S. Mounié,Miss,91,53,Forward
R. van La Parra,Miss,88,56,Midfielder
M. Lemina,Miss,73,66,Midfielder
S. Mounié,Miss,89,50,Forward
S. Mounié,Miss,92,37,Forward
T. Ince,Miss,86,69,Midfielder
E. Kachunga,Miss,89,62,Forward
M. Gabbiadini,Miss,81,50,Forward
S. Mounié,Miss,89,50,Forward
N. Redmond,Miss,72,45,Midfielder
T. Ince,Miss,74,40,Midfielder
A. Mooy,Miss,90,68,Midfielder
T. Ince,Miss,75,75,Midfielder
K. Palmer,Miss,83,67,Midfielder
D. Williams,Miss,89,51,Midfielder
S. Mounié,Miss,82,55,Forward
N. Redmond,Miss,85,52,Midfielder
R. Bertrand,Miss,97,41,Defender
E. Can,Miss,90,67,Midfielder
D. Welbeck,Miss,89,41,Forward
Mohamed Salah,Miss,94,75,Forward
Alberto Moreno,Miss,74,29,Defender
Roberto Firmino,GOAL,92,47,Forward
J. Henderson,Miss,93,65,Midfielder
Mohamed Salah,Miss,88,70,Forward
S. Mané,Miss,88,41,Forward
G. Wijnaldum,Miss,80,56,Midfielder
Roberto Firmino,Miss,74,50,Forward
