Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
B. Dibassy,rb,31,0.391,5.548,0.032,0.380,0.609,67.482
M. Pavlović,rcb,23,0.517,4.348,0.000,0.485,0.483,66.430
J. Rivierez,lb,24,0.487,5.667,0.167,0.572,0.513,68.329
M. Niakhaté,rb,35,0.460,5.514,0.000,0.445,0.540,68.604
D. Da Silva,lcb,32,0.632,7.875,0.000,0.710,0.368,74.280
Gabriel Silva,rb,25,0.411,5.520,0.080,0.382,0.589,66.779
A. Bouka Moutou,rb,4,0.488,5.250,0.500,0.623,0.512,63.704
F. Chafik,lb,21,0.446,7.048,0.333,0.442,0.554,68.742
Lucas Lima,rb,33,0.452,11.788,0.424,0.548,0.548,77.584
C. Traoré,rb,34,0.395,6.941,0.235,0.390,0.605,70.045
