eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,65,51,70,64,1801
Others on the ball,Touch,62,34,71,47,
Pass,Simple pass,71,47,91,87,1801
Pass,High pass,60,43,80,4,1801
Pass,Simple pass,77,32,92,12,1801
Free Kick,Corner,100,0,94,35,"801, 1802"
Free Kick,Throw in,91,0,95,7,1801
Pass,Simple pass,34,3,62,2,1801
Pass,Simple pass,67,53,71,56,1801
Pass,Simple pass,68,14,77,22,1801
Others on the ball,Touch,60,17,76,56,
Pass,Simple pass,63,42,90,74,1802
Pass,Simple pass,65,63,86,88,1801
Free Kick,Corner,100,100,100,100,"801, 1802"
Pass,Simple pass,54,52,68,65,1801
Others on the ball,Touch,35,30,51,45,
Pass,Simple pass,51,45,58,61,1801
Others on the ball,Touch,33,36,46,49,
Pass,Simple pass,46,49,67,81,1801
Pass,Simple pass,62,37,76,22,1801
Pass,Simple pass,60,7,61,7,1802
Free Kick,Throw in,58,0,62,12,1801
Pass,Simple pass,45,12,57,51,1801
Others on the ball,Touch,35,34,65,50,
Pass,Simple pass,65,50,71,85,1801
Pass,Simple pass,69,51,71,63,1801
Pass,Simple pass,32,57,46,53,1801
Pass,High pass,62,44,79,12,1801
Pass,Simple pass,68,18,79,9,1801
Shot,Shot,74,43,100,100,"402, 1216, 1802"
Pass,Simple pass,27,58,44,74,1801
Pass,Simple pass,46,53,47,33,1801
Pass,Simple pass,65,31,71,28,1801
Duel,Ground loose ball duel,75,40,83,48,"703, 1801"
Shot,Shot,83,48,100,100,"402, 201, 1205, 1801"
Others on the ball,Touch,31,11,42,14,
Pass,Simple pass,42,14,46,12,"2001, 1802"
Duel,Ground loose ball duel,8,60,7,60,"703, 1801"
Others on the ball,Clearance,7,60,4,43,"2001, 1802"
Pass,High pass,44,48,68,3,1801
Pass,Simple pass,59,9,68,37,1801
Free Kick,Throw in,70,0,59,7,1801
Pass,Cross,70,3,89,44,"402, 801, 1801"
Duel,Ground attacking duel,43,63,40,65,"703, 1801"
Free Kick,Free kick cross,56,70,79,40,"801, 1801"
Pass,High pass,33,54,73,35,1801
Pass,High pass,53,45,65,7,1801
Pass,Simple pass,66,33,79,49,1801
Pass,High pass,68,54,91,29,1802
Pass,Simple pass,70,41,87,24,1801
